game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
Strategic Mind: The Pacific₹709,Strategic Mind: The Pacific,₹709,DeveloperStarni Games,StrategyTurn-Based,Single Player,PublisherStarni Games,Release Date01/19/22,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",,4 GB RAM,Nvidia GTX 750 Ti or better or AMD HD 7870 or better,40 GB available space,,,Windows,
Strategic Mind: Spectre of Communism₹709,Strategic Mind: Spectre of Communism,₹709,DeveloperStarni Games,StrategyTurn-Based,Single Player,PublisherStarni Games,Release Date02/09/22,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",,4 GB RAM,Nvidia GTX 750 Ti or better or AMD HD 7870 or better,40 GB available space,,,Windows,
White Shadows₹529,White Shadows,₹529,DeveloperMonokel,Puzzle,Single Player,"PublisherThunderful Publishing, Mixtvision",Release Date04/08/22,Windows 10,,8 GB,NVIDIA GTX 960 | AMD R9 380,Gamepad,52%,Fair,Windows,69
Iron Danger₹489,Iron Danger,₹489,DeveloperAction Squad Studios,RPGAction-AdventureIndie,Single Player,PublisherDaedalic Entertainment,Release Date01/18/22,64-bit Windows 10,,8 GB RAM,NVIDIA GTX 960 3GB / AMD R9 280 3GB,14 GB available space,52%,Fair,Windows,72
"Alfred Hitchcock - Vertigo₹1,599",Alfred Hitchcock - Vertigo,"₹1,599",DeveloperPendulo Studio,NarrationAdventure,Single Player,PublisherMicroids,Release Date02/24/22,Windows 7,,8GB,Nvidia GTX 960 or AMD R9 285 2GB,42GB,,,Windows,
Zombie Rollerz: Pinball Heroes₹399,Zombie Rollerz: Pinball Heroes,₹399,DeveloperZing Games Inc.,CasualRogue-LiteAction,Controller SupportSingle Player,PublisherDaedalic Entertainment,Release Date03/02/22,"Windows 8.1, 10 or 11 64bit",,8 GB,NVIDIA® GeForce® GTX 750 or AMD Radeon™ R7 265,2 GB,,,PlatformWindowsWindows,
Godlike Burger-10%₹529₹476.10,Godlike Burger,₹476.10,DeveloperLiquid Pug,IndieActionRogue-Lite,Controller Support,PublisherDaedalic Entertainment,Release Date04/21/22,Windows 10 or 11 64bit,,8 GB,NVIDIA® GeForce® GTX 750 or AMD Radeon™ R7 265,3 GB available space,,,PlatformWindowsWindowsMac OSMac OS,
112th Seed₹119,112th Seed,₹119,DeveloperNERDGAMES,Platformer,Single Player,PublisherNERDGAMES,Release Date04/02/22,XP,,2GB,ONBOARD,,,,PlatformWindowsWindows,
ParadigmNEW TO EPIC-100%₹349Free,Paradigm,Free,DeveloperJanerka Productions,Comedy,Single Player,PublisherJanerka Productions,Release Date04/28/22,Windows Vista,,2 GB RAM,OpenGL 2.0 compatible with 512 MB RAM (Shared Memory is not recommended),5 GB available space,,,Windows,
Wildfire - Ticket to Rock₹239,Wildfire - Ticket to Rock,₹239,DeveloperVisual Saga,NarrationIndie,Single Player,PublisherHound Picked Games,Release Date03/23/22,Windows Vista,,2 GB RAM,OpenGL 2.0 or DirectX 9.0c,500 MB available space,,,Windows,
RUN - The world in-between₹239,RUN: The World In-Between,₹239,DeveloperTeam RUN,Platformer,Single PlayerController Support,PublisherPID Games,Release Date04/14/22,"Microsoft® Windows® 7 SP1, 8.1, 10 (version 1607 or better)",,2Gb RAM,OpenGL 3.0 (DirectX® 10) compliant graphics card and driver,300Mb,,,PlatformWindowsWindows,
