game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
"HITMAN - Game of the Year Edition₹3,249",HITMAN - Game of the Year Edition,"₹3,249",IO Interactive A/S,ActionAction-AdventureShooterStealth,Single Player,IO Interactive A/S,09/03/20,OS 64-bit Windows 7 / 64-bit Windows 8 (8.1) or Windows 10,"Intel CPU Core i7 3770 3,4 GHz / AMD CPU AMD FX-8350 4 GHz",8,Nvidia GPU GeForce GTX 770 / AMD GPU Radeon R9 290,50,92%,Mighty,Windows,84
"The Medium₹2,949",The Medium,"₹2,949",Bloober Team,HorrorAdventure,Single Player,Bloober Team S.A.,01/28/21,Windows 10 (64bit version only),Intel® Core™ i5-9600 / AMD Ryzen™ 7 3700X,16,@1080p NVIDIA GeForce® GTX 1060 6GB / AMD Radeon™ R9 390X (or equivalent with 4 GB VRAM),30,63%,Strong,PlatformWindowsWindows,75
Into the Breach₹446,Into The Breach,₹446,Subset Games,Turn-BasedRogue-LiteStrategy,Single Player,Subset Games,02/27/18,Windows 7+,1.7 GHz,1 GB,,250 MB,90%,Mighty,PlatformWindowsWindowsMac OSMac OS,88
The Lion's Song₹189,The Lion's Song,₹189,Mi'pu'mi Games,NarrationAdventure,Single Player,Mi'pu'mi Games,05/13/21,Windows 7 / 8 / 10,2 GHZ,1 GB RAM,DirectX 10 compatible,500 MB available space,80%,Strong,PlatformWindowsWindowsMac OSMac OS,81
Costume Quest₹297,Costume Quest,₹297,Double Fine Productions,RPGAdventure,Single Player,Double Fine Productions,10/19/10,Windows 7 or higher,2.2 GHz dual core CPU,1 GB RAM,,"256 MB GeForce 220, Radeon 4550, Intel HD 3000 Graphics",,,PlatformWindowsWindows,
Sunless Sea₹449,Sunless Sea,₹449,Failbetter Games,RPGAdventureIndie,,Failbetter Games,02/25/21,Windows 10,2Ghz or better,1 GB RAM,"1280x768 minimum resolution, DirectX 9.0c compatible graphics card",700 MB available space,81%,Strong,PlatformWindowsWindowsMac OSMac OS,81
2064: Read Only Memories₹469,2064: Read Only Memories,₹469,"MidBoss, LLC",Adventure,Single Player,"MidBoss, LLC",09/28/21,Windows 7,2.0 GHz with SSE2 instruction support,1 GB RAM,Direct X or Open GL 2.0 compatible card,1000 MB available space,63%,Strong,Windows,77
Kraken Academy₹499,Kraken Academy,₹499,Happy Broccoli Games,ComedyAdventureIndie,Single Player,Fellow Traveller,09/03/21,Windows 7,64-bit processor,1 GB RAM,"DX10, DX11, DX12 capable.",400 MB available space,,,Windows,
Assassin's Creed II Standard Edition₹499,Assassin's Creed II,₹499,Ubisoft,Action-Adventure,Single Player,Ubisoft,10/06/20,Windows® XP (32-64 bits) /Windows Vista®(32-64 bits)/Windows 7® (32-64 bits),Intel Core® 2 Duo E6700 2.6 GHz or AMD Athlon 64 X2 6000+ or better,1.5 GB Windows® XP / 2 GB Windows Vista® - Windows 7®,GeForce 8800 GT or ATI Radeon HD 4700 or better,"Assassin's Creed IIAssassin’s Creed® 2 is the follow-up to the title that became the fastest-selling new IP in video game history. The highly anticipated title features a new hero, Ezio Auditore da Firenze, a young Italian noble, and a new era, the Renaissance.
Ezio befriends Leonardo da Vinci, takes on Florence’s most powerful families and ventures throughout the canals of Venice where he learns to become a master assassin.EZIO, A NEW ASSASSIN FOR A NEW ERAEzio Auditore da Firenze is a young Italian noble who will learn the ways of the assassins after his family was betrayed and he looks to seek vengeance. He is a lady’s man, a free soul with panache yet has a very human side to his personality. Through him, you become a master assassin.RENAISSANCE ITALYItaly in the 15th century was less a country and more a collection of city-states where families with political and economic strength began to take leadership roles in cities like Florence and Venice. This journey through some of the most beautiful cities in the world takes place in a time in history where culture and art were born alongside some of the most chilling stories of corruption, greed and murder.A NEW-FOUND FREEDOMYou will be able to perform missions when you want and how you want in this open-ended world that brings back free-running and adds elements such as swimming and even flying to the adventure. The variety in gameplay adds another layer for you to truly play through the game any way you choose.DYNAMIC CROWDDiscover a living, breathing world where every character is an opportunity for the player. Blending in with the crowd is easier, working with in-game characters provide ample rewards but can also lead to surprising consequences.BECOME A MASTER ASSASSINPerfect your skills to become a master assassin where you brandish new weapons, learn to disarm enemies then use their weapons against them, and assassinate enemies using both hidden blades.",,,Windows,
"Ghost Recon Future Solider: Ultimate Edition₹1,499",Ghost Recon Future Solider: Ultimate Edition,"₹1,499",Ubisoft Paris,Action,,Ubisoft,07/28/20,"Windows Vista® (with Service Pack 2)/ Windows 7® (with Service pack 1), both 32 bit & 64 bit versions.",Intel Core2 Quad Q9450/ AMD Phenom II X4 940 or higher,"1024 MB DirectX–compliant, Shader 4.0–enabled video card based on nVidia GeForce GTX 460 or AMD/ATi HD 5850 or better.",25 GB,3 GB Windows Vista® & 7®,,,PlatformWindowsWindows,
20XX₹477,20XX,₹477,Batterystaple,Rogue-Liteer,Co-op,Batterystaple,07/30/20,"Windows 7, maybe even higher than 7",Two toaster processors or better (2011+),1024 MB RAM,Any card made during or after 2009,2 GB,68%,Strong,PlatformWindowsWindows,80
"The Banner Saga Epic Trilogy₹1,889",The Banner Saga Epic Trilogy,"₹1,889",Stoic,RPGStrategyIndie,Single Player,Stoic,07/21/21,Windows 10,1 gigahertz (GHz) or faster 32-bit (x86) or 64-bit (x64) processor,12 GB,,22 GB,,,PlatformWindowsWindowsMac OSMac OS,
"Back 4 Blood: Standard Edition₹2,999",Back 4 Blood: Standard Edition,"₹2,999",Turtle Rock Studios,ActionFirst PersonShooter,Co-opMultiplayerSingle Player,Warner Bros. Games,10/12/21,64-bit Windows 10,Intel Core i5-8400 (2.8 GHz) OR AMD Ryzen 7 1800X (3.6 GHz),12 GB,DX 12,40 GB SSD,72%,Strong,PlatformWindowsWindows,76
The Riftbreaker₹749,The Riftbreaker,₹749,EXOR Studios,RPGStrategy,Single Player,EXOR Studios,10/14/21,Windows 10,Intel i7 gen 2 or AMD Ryzen,12 GB RAM,Nvidia GTX 750 2GB or AMD R7 265 2GB,8 GB available space,,,PlatformWindowsWindows,
INDUSTRIA₹529,INDUSTRIA,₹529,Bleakmill,ActionShooterAdventure,Single Player,Headup,09/30/21,Windows 7 / Windows 8.1 / Windows 10 64-bit (latest Service Pack),3.2 GHz Quad-Core Processor,12 GB RAM,Geforce GTX 1060 / Radeon RX 580 or equivalent,15 GB available space,,,PlatformWindowsWindows,
The Alien Cube₹469,The Alien Cube,₹469,Alessandro Guzzo,AdventureHorrorIndie,Single Player,Alessandro Guzzo,10/14/21,Windows 10,Intel i5-6600 @ 3.3Ghz or AMD Ryzen 5 1400,12 GB RAM,Nvidia GTX 1060/AMD RX 580,20 GB available space,,,PlatformWindowsWindows,
Rayman Origins₹499,Rayman Origins,₹499,Ubisoft,ActionAdventureer,,Ubisoft,02/04/21,Windows® XP / Windows Vista® / Windows® 7 (only),2.0 GHz Intel® Core™2 Duo E4400 or 2.0 GHz AMD Athlon™ X2 3800+ or better,128 MB DirectX® 9.0c-compliant video card or higher* (see supported list),"Windows-compatible keyboard, mouse, optional controller (Xbox 360® Controller for Windows recommended)",2 GB recommended,,,Windows,
Superliminal₹595,Superliminal,₹595,Pillow Castle,First PersonPuzzle,Controller SupportSingle Player,Pillow Castle,11/12/19,Windows 10,3.0 Ghz,12Gb,Nvidia GTX1070 or equivalent,Nvidia GTX760 or equivalent,66%,Strong,PlatformWindowsWindowsMac OSMac OS,75
"Red Dead Redemption 2₹3,199",Red Dead Redemption 2,"₹3,199",Rockstar Games,ActionNarrationOpen World,Single Player,Rockstar Games,11/05/19,Windows 10 - April 2018 Update (v1803),Intel(R) Core(TM) i7-4770K / AMD Ryzen 5 1500x,12GB,Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GB,Nvidia GeForce GTX 770 2GB / AMD Radeon R9 280 3GB,94%,Mighty,PlatformWindowsWindows,96
"Tony Hawk's™ Pro Skater™ 1 + 2₹2,526",Tony Hawk's™ Pro Skater™ 1 + 2,"₹2,526",Vicarious Visions,ActionSports,Co-opSingle Player,Activision,09/04/20,Windows 10,AMD Ryzen 5 1600X / Intel Core i5-2500K,12GB,AMD Radeon R9 390 / NVIDIA GTX 970,AMD HD 7950 / Nvidia GTX 660,97%,Mighty,PlatformWindowsWindows,89
"Detroit: Become Human₹1,899",Detroit: Become Human,"₹1,899",Quantic Dream,ActionNarration,Single Player,Quantic Dream,12/12/19,Windows 10 (64 bit),i5-6600 @ 3.3 GHz or Ryzen 3 1300 X @ 3.4 GHz,12GB RAM,Nvidia GeForce GTX 1060 or AMD Radeon RX 580 (Support of Vulkan 1.1 required),55GB,72%,Strong,PlatformWindowsWindows,79
Townscaper₹139,Townscaper,₹139,Oskar Stålberg,CasualSimulationIndie,Single Player,Raw Fury,08/27/21,Windows 7+,1 GB,130 MB,,,75%,Fair,Windows,69
SAMURAI SHODOWN NEOGEO COLLECTION₹968,SAMURAI SHODOWN NEOGEO COLLECTION,₹968,Digital Eclipse,Fighting,Multiplayer,SNK CORPORATION,06/11/20,Windows 10 (64-bit Required),Intel i5 @ 2.5GHz or AMD equivalent,16 GB,"ATI Radeon RX 560 2GB, Nvidia GeForce GTX 900",10 GB,,,PlatformWindowsWindows,
Observer: System Redux₹707,Observer: System Redux,₹707,Bloober Team,HorrorAdventureFirst Person,,Bloober Team,11/10/20,Windows 10 - 64 bit,Intel Core i7-3770 / AMD Ryzen 5 1600,16 GB,@1280x720: GeForce GTX 1050 3 GB / Radeon RX 560 4 GB,16 GB,,,PlatformWindowsWindows,
"BIOMUTANT₹1,889",BIOMUTANT,"₹1,889",Experiment 101,ActionRPGAdventure,Single Player,THQ Nordic,05/25/21,Windows 10 (64bit),AMD Ryzen 5 1600 or Intel Core i7-6700K or newer running at 3.2 GHz or higher,16 GB,4 GB Direct3D 11 capable video card - GeForce GTX 960 or Radeon R9 380,25 GB,38%,Fair,PlatformWindowsWindows,67
Conway: Disappearance at Dahlia View₹709,Conway: Disappearance at Dahlia View,₹709,White Paper Games,Adventure,Single Player,Sold Out,11/02/21,Windows 10 x64,Intel Core i5-5675C (4 * 3100) or equivalent / AMD Ryzen 5 1600 (6 * 3200) or equivalent,16 GB,Geforce RTX 1060 (6144 MB) / Radeon RX 570 (8192 MB),GeForce GTX 660 ( 2048 MB) / Radeon RX 560X (4096 MB),50%,Fair,Windows,68
"Port Royale 4₹2,299",Port Royale 4,"₹2,299",Gaming Minds Studios,SimulationStrategy,Controller SupportSingle Player,Kalypso Media,09/25/20,Windows 8.1 or Windows 10 (64bit versions),"AMD or Intel, Intel Core i5 7400s @ 3.5 GHz or AMD Ryzen 5 @ 3.4 GHz",16 GB,"nVidia GeForce GTX 680 or AMD Radeon HD7970 or better (2048MB VRAM or more, with Shader Model 5.0)",10 GB available space,27%,Fair,PlatformWindowsWindows,69
Genshin ImpactFree,Genshin Impact,Free,COGNOSPHERE PTE. LTD.,RPGOpen WorldAdventure,Multiplayer,COGNOSPHERE PTE. LTD.,06/09/21,"Windows 7 SP1 64-bit, Windows 8.1 64-bit, or Windows  10 64-bit (Windows 10 dev builds are not currently supported)",Intel Core i7 or equivalent,16 GB,NVIDIA® GeForce® GT 1030 or better,30 GB,89%,Strong,PlatformWindowsWindows,80
"Disciples: Liberation₹2,299",Disciples: Liberation,"₹2,299",Frima Studio,RPGStrategy,MultiplayerSingle Player,Kalypso Media,10/21/21,Windows 10 64-bit,Intel Core i5-7600K or AMD Ryzen 1700,16 GB,NVIDIA GeForce GTX 960 4 GB or AMD Radeon R9 380 4 GB,8 GB,,,PlatformWindowsWindows,
"A Plague Tale: Innocence₹1,699",A Plague Tale: Innocence,"₹1,699",Asobo Studio,ActionAdventure,Single Player,Focus Entertainment,05/14/19,Windows 7/8/10 (64 bits),Intel Core i5-4690 (3.5 GHz)/AMD FX-8300 (3.3 GHz),16 GB,,50 GB,82%,Strong,PlatformWindowsWindows,82
Warhammer Age of Sigmar: Storm Ground₹799,Warhammer Age of Sigmar: Storm Ground,₹799,Gasket Games,Strategy,MultiplayerSingle Player,Focus Entertainment,09/23/21,Windows 10 (64-bit),AMD Ryzen 5 2600 / Intel Core i5-8600K,16 GB,"2 GB VRAM, Radeon HD 7870 / GeForce GTX 660",6 GB,21%,Fair,Windows,67
"Nioh 2 – The Complete Edition₹2,499",Nioh 2 – The Complete Edition,"₹2,499","KOEI TECMO GAMES CO., LTD.",ActionRPG,Co-opMultiplayerSingle Player,"KOEI TECMO GAMES CO., LTD.",09/23/21,Windows® 10 64bit,Intel Core i7 6700K or over AMD Ryzen 5 1600 or over,16 GB,"NVIDIA GeForce GTX 970 or over, VRAM 4GB or over",85 GB,97%,Mighty,Windows,85
"Mafia: Definitive Edition₹2,199",Mafia: Definitive Edition,"₹2,199",Hangar 13,ActionShooter,Single Player,2K,09/25/20,Windows 10 64-bit,Intel Core-i7 3770 3.4GHz / AMD FX-8350 4.2GHz,16 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7870,"Mafia: Definitive EditionPlay a Mob Movie: Live the life of a Prohibition-era gangster and rise through the ranks of the Mafia.Lost Heaven, IL: Recreated 1930's cityscape, filled with interwar architecture, cars and culture to see, hear and interact with.Re-Made Classic: Faithfully recreated, with expanded story, gameplay and original score. This is the Mafia you remembered and much more.Own Mafia: Definitive Edition to unlock Tommy’s Suit and Cab in both Mafia II and Mafia III Definitive Editions.Learn More at www.MafiaGame.com",80%,Strong,PlatformWindowsWindows,78
Samurai Jack: Battle Through Time₹968,Samurai Jack: Battle Through Time,₹968,Soleil Ltd.,ActionFightingAction-AdventureAdventure,Controller Support,Adult Swim Games,07/22/20,Windows 10 64bit,Intel Core i7 7th Generation,16 GB,NVIDIA GeForce GTX 750 Ti/ AMD Radeon HD 7750,10 GB of free space,61%,Fair,Windows,72
Transport Fever 2₹959,Transport Fever 2,₹959,Urban Games,Simulation,Single Player,Good Shepherd Entertainment,08/18/21,"Windows 7, 8 or 10 (64-bit)",Intel i7-4770k or AMD Ryzen 5 1600,16 GB,"NVIDIA GeForce GTX 1060 or AMD Radeon RX 580, 4 GB VRAM","NVIDIA GeForce GTX 560 or AMD Radeon HD 7850, 2 GB VRAM",,,PlatformWindowsWindowsMac OSMac OS,
The Eternal Cylinder₹709,The Eternal Cylinder,₹709,ACE Team,ExplorationSurvivalOpen WorldAdventure,Single Player,Good Shepherd Entertainment,09/30/21,Windows 10,Intel Core i5-7600,16 GB,,9 GB,,,PlatformWindowsWindows,
Crysis 2 Remastered₹709,Crysis 2 Remastered,₹709,Crytek,ActionShooter,Single Player,Crytek,10/15/21,Windows 10 64-Bit latest update,Intel(R) Core(TM) i5-8600 or higher,16 GB,NVIDIA GeForce GTX 1060,54 GB,,,PlatformWindowsWindows,
Comanche₹799,Comanche,₹799,"NUKKLEAR, Ashborne Games",Action,MultiplayerSingle Player,THQ Nordic,08/30/21,64-bit Windows 10,Intel Core i7 7700 or AMD equivalent,16 GB,GeForce GTX960 (minimum nVidia drivers 462.31) or AMD equivalent (minimum AMD drivers 21.4.1),35 GB,,,PlatformWindowsWindows,
"Spacebase Startopia - Standard Edition₹2,299",Spacebase Startopia,"₹2,299",Realmforge Studios,SimulationStrategy,,Kalypso Media,03/26/21,Windows 10 (64-bit versions),AMD Ryzen 5 3600X / Intel Core i3-9100 @ 3.6 GHz,16 GB,"AMD/Nvidia dedicated GPU, 4 GB dedicated VRAM and Shader Model 5.1 (Nvidia Geforce GTX 960 or AMD Radeon r9 285)",10 GB available space,,,PlatformWindowsWindows,
Hello Neighbor: Hide and Seek₹670,Hello Neighbor: Hide and Seek,₹670,tinyBuild Games,ActionStealthAdventure,Single Player,tinyBuild Games,12/07/18,Windows 10 (64-Bit),i7,16 GB,GTX 1060,GTX 960,,,PlatformWindowsWindows,
Rogue State Revolution₹459,Rogue State Revolution,₹459,Little Red Dog Games,City BuilderRogue-LiteStrategy,Single Player,Modern Wolf,03/18/21,Windows 10 64 Bit,CPU: Intel Core i5 8600K (3.6 GHz),16 GB,NVIDIA GeForce GTX 670 (2GB),4 GB,,,PlatformWindowsWindows,
"ELEX₹1,099",ELEX,"₹1,099",Piranha Bytes,ActionRPGAdventure,Single Player,THQ Nordic,03/25/21,"64-bit Windows 7, Windows 8.1, Windows 10","Intel Core i7-4790, AMD FX-8350",16 GB,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",35 GB,14%,Weak,Windows,61
Raji: An Ancient Epic₹595,Raji: An Ancient Epic,₹595,Nodding Heads Games,ActionNarrationAction-AdventureAdventure,Single Player,Super.com,10/15/20,Windows 10 64-bit,Intel Core i5-7400 (3.50 GHz) / AMD FX-8100 (2.8 GHz),16 GB,GeForce GTX 760 / AMD Radeon R9 270,3 GB,44%,Fair,PlatformWindowsWindows,70
"Days Gone₹3,299",Days Gone,"₹3,299",Bend Studio,ActionSurvivalOpen World,Single Player,PlayStation PC LLC,05/18/21,Windows 10 64-bits,Intel Core i7-4770K@3.5GHz or Ryzen 5 1500X@3.5GHz,16 GB,Nvidia GeForce GTX 780 (3 GB) or AMD Radeon R9 290 (4 GB),70 GB,53%,Fair,PlatformWindowsWindows,72
"MotoGP™21₹1,199",MotoGP™21,"₹1,199",Milestone S.r.l.,SimulationRacing,MultiplayerSingle Player,Milestone S.r.l.,04/22/21,Windows 8.1 64-Bit or later,"Intel Core i7-5820K, AMD Ryzen 5 1500X or equivalent",16 GB,"NVIDIA GeForce GTX 1050 with 2 GB VRAM or more, AMD Radeon HD 7950 with 2 GB VRAM or more",22 GB,68%,Strong,PlatformWindowsWindows,77
"Old World₹1,117",Old World,"₹1,117",Mohawk Games,Turn-BasedStrategy,Co-opMultiplayerSingle Player,Mohawk Games,05/05/20,Microsoft Windows 10 (64-bit),Intel i5-8500 3ghz or similar,16 GB,NVIDIA GTX 770 / AMD R9 290,14 GB,,,PlatformWindowsWindowsMac OSMac OS,
LEGO® Builder's Journey₹469,LEGO® Builder's Journey,₹469,Light Brick Studio,CasualPuzzleAdventure,Single Player,LEGO Games,06/22/21,Windows 10,Intel Core i7-980,16 GB,NVIDIA GeForce GTX 960,4 GB,82%,Strong,PlatformWindowsWindows,79
Horror Story: Hallowseed₹589,Horror Story: Hallowseed,₹589,Jeff Winner,Horror,Single Player,1C Entertainment,10/28/21,Windows 10 64-bits,Core i5 3.20ghz,16 GB,NVIDIA® GeForce® GTX 960 (Lower PC Can Run it but loses Fps and Graphics Quality),15 GB,,,PlatformWindowsWindows,
Crysis 3 Remastered₹709,Crysis 3 Remastered,₹709,Crytek,ActionShooter,Single Player,Crytek,10/15/21,Windows 10 64-Bit latest update,Intel(R) Core(TM) i5-8600,16 GB,NVIDIA GeForce GTX 1060,18 GB,,,PlatformWindowsWindows,
War Mongrels₹959,War Mongrels,₹959,Destructive Creations,StrategyStealth,Co-opSingle PlayerController Support,Destructive Creations,10/19/21,Windows® 7 (Service Pack 1) / Windows® 8 / Windows® 8.1 / Windows® 10 / (64-bit only),AMD Ryzen 5 2600 or Intel Core i7-4790.,16 GB,NVIDIA GeForce GTX 950 or AMD Radeon R9 270. At least 2GB of dedicated VRAM.,35 GB,,,PlatformWindowsWindows,
"Vampyr₹1,564",Vampyr,"₹1,564",DONTNOD Entertainment,ActionRPG,Controller SupportSingle Player,Focus Entertainment,06/05/18,Windows 7/8/10 (64 bits),Intel Core i7-3930K (3.2 GHz)/AMD Ryzen 5 1600 (3.2 GHz),16 GB,,"4 GB, GeForce GeForce GTX 970 / GTX 1060 / Radeon R9 390",45%,Fair,PlatformWindowsWindows,72
Myst₹709,Myst,₹709,"Cyan Worlds, Inc.",PuzzleAdventure,Single PlayerVR,"Cyan Worlds, Inc.",08/26/21,Windows 10,Intel i5-4590 / AMD Ryzen 5 1500X or greater,16 GB RAM,NVIDIA GTX 1050 Ti / AMD Radeon RX 570 or greater,20 GB available space,54%,Fair,Windows,74
New Super Lucky's Tale₹709,New Super Lucky's Tale,₹709,Playful Studios,ActionAction-AdventureAdventureer,Controller SupportSingle Player,Playful Studios,08/21/20,Windows 10,Intel Core i5 4570 @ 3.2 GHz or AMD FX - 8350,16 GB RAM,,7 GB,80%,Strong,PlatformWindowsWindows,79
Stonefly₹529,Stonefly,₹529,Flight School Studio,ActionRPGAdventure,Single Player,MWM Interactive,06/01/21,Windows 10 (64-bit),Intel Core i5-7400 or AMD Ryzen 1600,16 GB RAM,NVIDIA GeForce GTX 580 / AMD Radeon 6970 HD or higher,5 GB available space,,,PlatformWindowsWindows,
"Darksiders III₹2,165",Darksiders III,"₹2,165",Gunfire Games,ActionAdventure,Controller SupportSingle Player,THQ Nordic,11/27/18,Windows 7 / 8 / 10 64 bit,Intel Core i7-3930K (3.2 GHz)/AMD Ryzen 5 1600 (3.2 GHz) or better,16 GB RAM,AMD Radeon RX 480 / NVIDIA GeForce GTX 970 with 4 GB VRAM,25 GB,34%,Fair,PlatformWindowsWindows,68
Tannenberg₹599,Tannenberg,₹599,M2H & Blackmill Games,ActionShooter,Co-opMultiplayerSingle Player,M2H,07/22/21,Windows 10 64 Bit,"Intel CPU Core i5-2500K 3.3GHz, AMD CPU Phenom II X4 940",16 GB RAM,"Geforce GTX 960M / Radeon HD 7750 or higher, 2GB video card memory",8 GB available space,41%,Fair,Windows,69
Void Bastards₹639,Void Bastards,₹639,Blue Manchu,ActionShooter,Single PlayerController Support,Humble Games,08/19/21,Windows 7/8/10 (64-bit versions),"Intel i7-2600K, AMD FX-8350",16 GB RAM,,6 GB,81%,Strong,Windows,81
Basingstoke₹709,Basingstoke,₹709,Puppygames,IndieStealthHorror,Single PlayerController Support,Puppygames,10/29/21,Windows 7/8/10 (64-bit versions),Intel Core i5 3.00 GHz or AMD equivalent,16 GB RAM,"GTX 970 4GB, AMD R9 290 4GB",1 GB available space,,,Windows,
Dark Deception₹469,Dark Deception,₹469,Glowstick Entertainment,HorrorIndie,Single Player,Glowstick Entertainment,10/30/21,"64-bit Windows 7, Windows 8.1, or Windows 10",Intel Core i5-6600K/ AMD Ryzen 5 1600,16 GB RAM,NVIDIA GeForce GTX 960 2GB/ AMD Radeon R7 370 2GB,3 GB,,,Windows,
JETT: The Far Shore₹709,JETT : The Far Shore,₹709,Superbrothers + Pine Scented,ExplorationOpen WorldAdventure,Single Player,Superbrothers + Pine Scented,10/05/21,Windows 10 (64-bit),Quad Core 3.6GHz+ CPU (e.g. Intel Core i7-8700K / AMD Ryzen 5 2600) or better,16 GB RAM,NVIDIA Geforce GTX 1060 / AMD Radeon RX 480 or equivalent,14 GB hard drive space,28%,Fair,PlatformWindowsWindows,66
In Sound Mind₹759,In Sound Mind,₹759,We Create Stuff,HorrorAdventure,Single Player,Modus Games,09/28/21,64-bit Windows 10,Core i7-3770 / AMD FX-9590,16 GB RAM,,20 GB available space,42%,Fair,PlatformWindowsWindows,74
The Magnificent Trufflepigs₹279,The Magnificent Trufflepigs,₹279,Thunkd,AdventureFirst PersonIndie,Single PlayerController Support,AMC Games,08/26/21,Windows 10 64-bit,Intel® Core™ i5-8500 / AMD Ryzen™ 5 3600,16 GB RAM,NVIDIA GeForce® GTX 970 6GB / AMD Radeon™ RX 570 (or equivalent with 6 GB+ VRAM),5 GB available space,35%,Fair,Windows,68
Secret Government₹699,Secret Government,₹699,GameTrek,IndieStrategy,Single Player,1C Entertainment,04/15/21,Windows 7/Windows 8/Windows 10 64bit,Intel i7-6770,16 GB RAM,Nvidia GTX 660,9 GB,,,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,
"Prey₹1,799",Prey,"₹1,799",Arkane Studios,ActionFirst PersonAction-AdventureShooterAdventure,Single Player,Bethesda Softworks,09/09/21,Windows 7/8/10 (64-bit versions),"Intel i7-2600K, AMD FX-8350",16 GB RAM,Requires a 64-bit processor and operating system,20 GB available space,75%,Strong,Windows,81
Mundaun₹529,Mundaun,₹529,Hidden Fields,HorrorAdventureIndie,Single Player,MWM Interactive,03/16/21,Windows 10 (64-bit),Intel Core i5-7400 or AMD Ryzen 1600,16 GB RAM,NVIDIA GeForce GTX 650 or AMD Radeon HD 6850,5 GB available space,58%,Fair,PlatformWindowsWindows,74
Iron Harvest₹699,Iron Harvest,₹699,King Art Games,ActionCasualStrategy,Co-opMultiplayerSingle Player,PRIME MATTER,11/19/20,Windows 10 x64,Intel(R) Core(TM) i7 8700k or AMD equivalent,16 GB RAM,"GeForce RTX 2060 or AMD equivalent, 4 GB VRAM",30 GB available space,,,PlatformWindowsWindows,
Operencia: The Stolen Sun₹670,Operencia,₹670,Zen Studios,ExplorationDungeon CrawlerRPG,Controller SupportSingle PlayerVR,Zen Studios,03/08/19,Windows 10 (64bit),Intel Core i7-3770/AMD FX-8350,16 GB RAM,NVIDIA GTX 1060 / AMD Radeon RX 570,15 GB available space,89%,Strong,PlatformWindowsWindows,80
"Desperados III₹1,739",Desperados III,"₹1,739",Mimimi Games,Strategy,Single Player,THQ Nordic,06/16/20,Windows 10 (Requires a 64-bit processor and operating system),IAMD / Intel processor running at 3.5 GHz or higher (AMD Ryzen 3 1300x or Intel Core i3 8100 or newer is recommended),16 GB RAM,"AMD/NVIDIA dedicated graphics card, with at least 4GB of dedicated VRAM and with at least DirectX 12.0 and Shader Model 6.0 support",19 GB available space,96%,Mighty,PlatformWindowsWindows,86
Night in the Woods₹469,Night in the Woods,₹469,Infinite Fall,NarrationAdventureer,,Finji,12/27/20,Windows 10,Intel i7 Quad-Core,16 GB RAM,Intel HD 4000,8GB,90%,Mighty,PlatformWindowsWindowsMac OSMac OS,86
The Uncertain: Light at the End₹239,The Uncertain: Light at the End,₹239,New Games Order,PuzzleAdventure,Single Player,META Publishing,07/13/21,Windows 10 x64 and UP,Intel core i5 or AMD equivalent or better,16 GB RAM,Nvidia GeForce GTX 750Ti or higher,15 GB,6%,Weak,Windows,46
Obduction₹709,Obduction,₹709,"Cyan, Inc.",PuzzleAdventureIndie,Single Player,"Cyan, Inc.",07/15/21,Windows 10 64 bit,Intel i5 4590 equivalent or better,16 GB RAM,GeForce 660 GTX w/1GB / AMD 7700 series w/1GB equivalent or better,20 GB available space,43%,Fair,Windows,72
"Destroy All Humans!₹1,139",Destroy all Humans!,"₹1,139",Black Forest Games,ActionAction-AdventureOpen WorldAdventure,Controller Support,THQ Nordic,07/28/20,Windows 10 (Requires a 64-bit processor and operating system),IAMD / Intel processor running at 3.5 GHz or higher (AMD Ryzen 3 1300x or Intel Core i3 8100 or newer is recommended),16 GB RAM,"AMD/NVIDIA dedicated graphics card, with at least 4GB of dedicated VRAM and with at least DirectX 12.0 and Shader Model 6.0 support",19 GB available space,50%,Fair,PlatformWindowsWindows,71
Haven₹589,Haven,₹589,The Game Bakers,RPG,,The Game Bakers,02/04/21,Windows 10 64 Bit,Intel i3 8100 (3.6 GHz) / AMD Ryzen 3 2200G (3.5 GHz),16 GB RAM,AMD Radeon HD 5750 (1GB) / NVIDIA GeForce GTX 465 (1GB),5 GB available space,75%,Strong,PlatformWindowsWindows,75
"State of Decay 2: Juggernaut Edition₹1,117",State of Decay 2: Juggernaut Edition,"₹1,117",Undead Labs,Adventure,,Xbox Game Studios,03/13/20,Windows 10 64-bit,AMD FX-8350 | Intel i5-4570 @ 3.2GHz,16 GB RAM,NVIDIA GeForce GTX 760 | AMD Radeon HD 7870,17 GB,,,PlatformWindowsWindows,
ARK: Survival Evolved₹709,ARK: Survival Evolved,₹709,Studio Wildcard,RPGSurvivalAdventure,Single Player,Snail Games USA,06/11/20,Windows 10 (64-bit),Intel Core i5-4670K 3.4GHz / AMD Ryzen R5 1500X or better,16GB,Ragnarok - ARK Expansion Map,NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better,,,PlatformWindowsWindows,
